ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
1,LogEntry,LogEntry__action_time__0,action_time,,,,,,,,,,,,
2,LogEntry,LogEntry__object_repr__0,object_repr,,,,,,,,,,,,
3,Permission,Permission__name__0,name,,,,,,,,,,,,
4,Permission,Permission__codename__0,codename,,,,,,,,,,,,
5,Group,Group__name__0,name,,,,,,,,,,,,
6,User,User__password__0,password,,,,,,,,,,,,
7,User,User__last_login__0,last_login,,,,,,,,,,,,
8,User,User__is_superuser__0,is_superuser,,,,,,,,,,,,
9,User,User__username__0,username,,,,,,,,,,,,
10,User,User__first_name__0,first_name,,,,,,,,,,,,
11,User,User__last_name__0,last_name,,,,,,,,,,,,
12,User,User__email__0,email,,,,,,,,,,,,
13,User,User__is_staff__0,is_staff,,,,,,,,,,,,
14,User,User__is_active__0,is_active,,,,,,,,,,,,
15,User,User__date_joined__0,date_joined,,,,,,,,,,,,
16,ContentType,ContentType__app_label__0,app_label,,,,,,,,,,,,
17,ContentType,ContentType__model__0,model,,,,,,,,,,,,
18,Session,Session__session_key__0,session_key,,,,,,,,,,,,
19,Session,Session__expire_date__0,expire_date,,,,,,,,,,,,
20,FRAMEWORK_TABLE,FRAMEWORK_TABLE__id__0,id,,,,,,,,,,,,
21,FRAMEWORK_SUBDOMAIN,FRAMEWORK_SUBDOMAIN__id__0,id,,,,,,,,,,,,
22,FRAMEWORK_HIERARCHY,FRAMEWORK_HIERARCHY__id__0,id,,,,,,,,,,,,
23,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK__id__0,id,,,,,,,,,,,,
24,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK__created_at__0,created_at,,,,,,,,,,,,
25,SUBDOMAIN,SUBDOMAIN__subdomain_id__0,subdomain_id,,,,,,,,,,,,
26,SUBDOMAIN,SUBDOMAIN__name__0,name,,,,,,,,,,,,
27,SUBDOMAIN,SUBDOMAIN__is_listed__0,is_listed,,,,,,,,,,,,
28,SUBDOMAIN,SUBDOMAIN__code__0,code,,,,,,,,,,,,
