CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:ENTTY_RL:Derivatives ETC:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:ENTTY_RL:Derivatives ETC,2325,737
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Debt securities:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Debt securities,2322,778
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC,2322,778
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2320,813
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2319,817
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:TYP_HDG:TYP_HDG,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2329,831
F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements,2321,982
F_01_01_REF_FINREP_3_0:INSTRMNT:Tangible assets:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Tangible assets,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables:RPYMNT_RGHTS:RPYMNT_RGHTS,F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables,2323,991
F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables,2321,982
