MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,DPM_mi170_Z,Resolution mapping - Share capital owned,A,DPM_mi170_Z,,,DPM_mi170_Z
ECB,DPM_LQA,Liquidity quality of assets into Eligible for central bank funding,E,DPM_LQA,,DPM_LQA,DPM_LQA
ECB,DPM_ENC,"Encumbrance into Encumbered asset or collateral received, Available for encumbrance",E,DPM_ENC,,DPM_ENC,DPM_ENC
ECB,DPM_EXC,Exposure class into Exposure class,E,DPM_EXC,,DPM_EXC,DPM_EXC
ECB,DPM_LQC,DPM_LQC,E,DPM_LQC,,DPM_LQC,DPM_LQC
ECB,DPM_CPC,DPM_CPC,E,DPM_CPC,,DPM_CPC,DPM_CPC
ECB,DPM_ECC,Exposure class of the collateral received into Exposure class of the collateral received,E,DPM_ECC,,DPM_ECC,DPM_ECC
ECB,DPM_SST,Securitisation structure into Security rank level,E,DPM_SST,,DPM_SST,DPM_SST
ECB,DPM_CPE,Counterparty sector of the source of encumbrance into Institutional sector,E,DPM_CPE,,DPM_CPE,DPM_CPE
ECB,DPM_EUT_RSDL_MTRY_LBLTY_INTRVL,Time of encumbrance into Residual maturity of the liability interval,E,DPM_EUT_RSDL_MTRY_LBLTY_INTRVL,,DPM_EUT_RSDL_MTRY_LBLTY_INTRVL,DPM_EUT_RSDL_MTRY_LBLTY_INTRVL
ECB,DPM_SCC_RSDL_MTRY_CNTRCT,Specific contract clauses or netting agreements into Residual maturity of the contract,E,DPM_SCC_RSDL_MTRY_CNTRCT,,DPM_SCC_RSDL_MTRY_CNTRCT,DPM_SCC_RSDL_MTRY_CNTRCT
ECB,DPM_REF_RES,"Reference date or period, Residual maturity into Time interval w.r.t. the reference date",E,DPM_REF_RES,,DPM_REF_RES,DPM_REF_RES
ECB,DPM_CRA,"Credit rating agency /Covered bond regime into Credit rating agency, Statutory covered bond regime",E,DPM_CRA,,DPM_CRA,DPM_CRA
ECB,DPM_ROL ,resolution mapping role in the contract ,E,DPM_ROL ,,DPM_ROL ,DPM_ROL 
ECB,DPM_mi292,DPM_mi292,A,DPM_mi292,,,DPM_mi292
ECB,DPM_mi295,DPM_mi295,A,DPM_mi295,,,DPM_mi295
ECB,DPM_mi297,DPM_mi297,A,DPM_mi297,,,DPM_mi297
ECB,DPM_pi695,DPM_pi695,A,DPM_pi695,,,DPM_pi695
ECB,DPM_pi769,DPM_pi769,A,DPM_pi769,,,DPM_pi769
ECB,TYP_RPRTNG_NCB,Generation Mapping for Criterion for determining the NCB to which data will be reported,E,TYP_RPRTNG_NCB,,TYP_RPRTNG_NCB,TYP_RPRTNG_NCB
ECB,DPM_CTL,Mapping of Collateralisation level,E,DPM_CTL,,DPM_CTL,DPM_CTL
ECB,DPM_IMS_F_23.02,Mapping of Impairment status for the template F23.02,E,DPM_IMS_F_23.02,,DPM_IMS_F_23.02,DPM_IMS_F_23.02
ECB,DPM_MCB_MCY_TMA_TRI,"Mapping of Main category, Type of risk, Type of market, Instrument",E,DPM_MCB_MCY_TMA_TRI,,DPM_MCB_MCY_TMA_TRI,DPM_MCB_MCY_TMA_TRI
ECB,DPM_BLJ,DPM_BLJ,A,DPM_BLJ,,,DPM_BLJ
ECB,DPM_BLK,DPM_BLK,A,DPM_BLK,,,DPM_BLK
ECB,DPM_BTI,Mapping of Instrument is listed on exchange,E,DPM_BTI,,DPM_BTI,DPM_BTI
ECB,DPM_CRE,DPM_CRE,A,DPM_CRE,,,DPM_CRE
ECB,DPM_CRG,DPM_CRG,A,DPM_CRG,,,DPM_CRG
ECB,DPM_CRI,Mapping of Critical function (CF to CBL),E,DPM_CRI,,DPM_CRI,DPM_CRI
ECB,DPM_CRJ,Mapping of Critical function (CS to CF),E,DPM_CRJ,,DPM_CRJ,DPM_CRJ
ECB,DPM_CRK,Mapping of Critical function  (FMI to CF),E,DPM_CRK,,DPM_CRK,DPM_CRK
