ID,CUBE_MAPPING_ID,MAPPING_ID,VALID_FROM,VALID_TO
1,M_F_00_01_REF_FINREP,DPM_BAS,1999-01-01,9999-12-31
2,M_F_00_01_REF_FINREP,DPM_Entity2,1999-01-01,9999-12-31
3,M_F_00_01_REF_FINREP,DPM_Period,1999-01-01,9999-12-31
4,M_F_00_01_REF_FINREP,DPM_RiadCode,1999-01-01,9999-12-31
5,M_F_00_01_REF_FINREP,DPM_ValueString,1999-01-01,9999-12-31
6,M_F_05_01_REF_FINREP 2_8,DPM_BAS_APL,1999-01-01,9999-12-31
7,M_F_05_01_REF_FINREP 2_8,DPM_CPS,1999-01-01,9999-12-31
8,M_F_05_01_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
9,M_F_05_01_REF_FINREP 2_8,DPM_MCB_MCY,1999-01-01,9999-12-31
10,M_F_05_01_REF_FINREP 2_8,DPM_MCG,1999-01-01,9999-12-31
11,M_F_05_01_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
12,M_F_05_01_REF_FINREP 2_8,DPM_PUR,1999-01-01,9999-12-31
13,M_F_05_01_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
14,M_F_05_01_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
15,M_F_24_02_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
16,M_F_24_02_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
17,M_F_24_02_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
18,M_F_24_02_REF_FINREP 2_9,DPM_MCB_MCY_2.9,1999-01-01,9999-12-31
19,M_F_24_02_REF_FINREP 2_9,DPM_MCG,1999-01-01,9999-12-31
20,M_F_24_02_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
21,M_F_24_02_REF_FINREP 2_9,DPM_PFS,1999-01-01,9999-12-31
22,M_F_24_02_REF_FINREP 2_9,DPM_REF,1999-01-01,9999-12-31
23,M_F_24_02_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
24,M_F_24_02_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
25,M_F_23_03_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
26,M_F_23_03_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
27,M_F_23_03_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
28,M_F_23_03_REF_FINREP 2_9,DPM_FBS,1999-01-01,9999-12-31
29,M_F_23_03_REF_FINREP 2_9,DPM_MCB_MCY_MCG,1999-01-01,9999-12-31
30,M_F_23_03_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
31,M_F_23_03_REF_FINREP 2_9,DPM_PFS_TPD,1999-01-01,9999-12-31
32,M_F_23_03_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
33,M_F_23_03_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
34,M_F_18_01_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
35,M_F_18_01_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
36,M_F_18_01_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
37,M_F_18_01_REF_FINREP 2_9,DPM_FLW,1999-01-01,9999-12-31
38,M_F_18_01_REF_FINREP 2_9,DPM_MCB_MCY_2.9,1999-01-01,9999-12-31
39,M_F_18_01_REF_FINREP 2_9,DPM_MCG,1999-01-01,9999-12-31
40,M_F_18_01_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
41,M_F_18_01_REF_FINREP 2_9,DPM_PUR,1999-01-01,9999-12-31
42,M_F_18_01_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
43,M_F_18_01_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
44,M_F_20_04_REF_FINREP 2_8,DPM_BAS_APL,1999-01-01,9999-12-31
45,M_F_20_04_REF_FINREP 2_8,DPM_CPS_CPZ_MCC_MCG_MCY_PUR,1999-01-01,9999-12-31
46,M_F_20_04_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
47,M_F_20_04_REF_FINREP 2_8,DPM_FBS,1999-01-01,9999-12-31
48,M_F_20_04_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
49,M_F_20_04_REF_FINREP 2_8,DPM_PFS,1999-01-01,9999-12-31
50,M_F_20_04_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
51,M_F_20_04_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
52,M_F_16_08_REF_FINREP 2_9,DPM_BAS_MCY,1999-01-01,9999-12-31
53,M_F_16_08_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
54,M_F_16_08_REF_FINREP 2_9,DPM_MCV_F_16.08,1999-01-01,9999-12-31
55,M_F_16_08_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
56,M_F_16_08_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
57,M_F_16_08_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
58,M_F_04_08_REF_FINREP 2_9,DPM_BAS_ALO_IMS_APL,1999-01-01,9999-12-31
59,M_F_04_08_REF_FINREP 2_9,DPM_CPS_CPZ_MCY_TMA,1999-01-01,9999-12-31
60,M_F_04_08_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
61,M_F_04_08_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
62,M_F_04_08_REF_FINREP 2_9,DPM_PFS,1999-01-01,9999-12-31
63,M_F_04_08_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
64,M_F_04_08_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
65,M_F_20_03_REF_FINREP 2_8,DPM_BAS_MCY,1999-01-01,9999-12-31
66,M_F_20_03_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
67,M_F_20_03_REF_FINREP 2_8,DPM_LAC,1999-01-01,9999-12-31
68,M_F_20_03_REF_FINREP 2_8,DPM_MCE_APL,1999-01-01,9999-12-31
69,M_F_20_03_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
70,M_F_20_03_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
71,M_F_20_03_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
72,M_F_23_04_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
73,M_F_23_04_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
74,M_F_23_04_REF_FINREP 2_9,DPM_CTL_MCG,1999-01-01,9999-12-31
75,M_F_23_04_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
76,M_F_23_04_REF_FINREP 2_9,DPM_FBS,1999-01-01,9999-12-31
77,M_F_23_04_REF_FINREP 2_9,DPM_MCB_MCY_2.9,1999-01-01,9999-12-31
78,M_F_23_04_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
79,M_F_23_04_REF_FINREP 2_9,DPM_PFS_TPD,1999-01-01,9999-12-31
80,M_F_23_04_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
81,M_F_23_04_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
82,M_F_24_01_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
83,M_F_24_01_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
84,M_F_24_01_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
85,M_F_24_01_REF_FINREP 2_9,DPM_FLT_FLW,1999-01-01,9999-12-31
86,M_F_24_01_REF_FINREP 2_9,DPM_MCB_MCY_2.9,1999-01-01,9999-12-31
87,M_F_24_01_REF_FINREP 2_9,DPM_MCG,1999-01-01,9999-12-31
88,M_F_24_01_REF_FINREP 2_9,DPM_NPE,1999-01-01,9999-12-31
89,M_F_24_01_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
90,M_F_24_01_REF_FINREP 2_9,DPM_PFS,1999-01-01,9999-12-31
91,M_F_24_01_REF_FINREP 2_9,DPM_PIR,1999-01-01,9999-12-31
92,M_F_24_01_REF_FINREP 2_9,DPM_POV,1999-01-01,9999-12-31
93,M_F_24_01_REF_FINREP 2_9,DPM_REF,1999-01-01,9999-12-31
94,M_F_24_01_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
95,M_F_24_01_REF_FINREP 2_9,DPM_TIE,1999-01-01,9999-12-31
96,M_F_24_01_REF_FINREP 2_9,DPM_TYA_F_24.01,1999-01-01,9999-12-31
97,M_F_24_01_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
98,M_F_02_00_REF_FINREP 2_9,DPM_BAS_MCY,1999-01-01,9999-12-31
99,M_F_02_00_REF_FINREP 2_9,DPM_CNO,1999-01-01,9999-12-31
100,M_F_02_00_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
101,M_F_02_00_REF_FINREP 2_9,DPM_MCE_APL,1999-01-01,9999-12-31
102,M_F_02_00_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
103,M_F_02_00_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
104,M_F_02_00_REF_FINREP 2_9,DPM_TRI_F_02.00,1999-01-01,9999-12-31
105,M_F_02_00_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
106,M_F_06_01_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
107,M_F_06_01_REF_FINREP 2_9,DPM_CPS,1999-01-01,9999-12-31
108,M_F_06_01_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
109,M_F_06_01_REF_FINREP 2_9,DPM_IMS_F_06.01,1999-01-01,9999-12-31
110,M_F_06_01_REF_FINREP 2_9,DPM_MCY,1999-01-01,9999-12-31
111,M_F_06_01_REF_FINREP 2_9,DPM_NAC,1999-01-01,9999-12-31
112,M_F_06_01_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
113,M_F_06_01_REF_FINREP 2_9,DPM_PFS,1999-01-01,9999-12-31
114,M_F_06_01_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
115,M_F_06_01_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
116,M_F_30_02_REF_FINREP 2_8,DPM_APL,1999-01-01,9999-12-31
117,M_F_30_02_REF_FINREP 2_8,DPM_BAS_MCY_PFS,1999-01-01,9999-12-31
118,M_F_30_02_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
119,M_F_30_02_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
120,M_F_30_02_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
121,M_F_30_02_REF_FINREP 2_8,DPM_RPR,1999-01-01,9999-12-31
122,M_F_30_02_REF_FINREP 2_8,DPM_TYR,1999-01-01,9999-12-31
123,M_F_30_02_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
124,M_F_22_01_REF_FINREP 2_9,DPM_BAS_MCE_MCY_TYA_2.9,1999-01-01,9999-12-31
125,M_F_22_01_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
126,M_F_22_01_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
127,M_F_22_01_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
128,M_F_22_01_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
129,M_F_47_00_REF_FINREP 2_9,DPM_BAS,1999-01-01,9999-12-31
130,M_F_47_00_REF_FINREP 2_9,DPM_CPS_CPZ,1999-01-01,9999-12-31
131,M_F_47_00_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
132,M_F_47_00_REF_FINREP 2_9,DPM_MCB_MCY_2.9,1999-01-01,9999-12-31
133,M_F_47_00_REF_FINREP 2_9,DPM_MCG,1999-01-01,9999-12-31
134,M_F_47_00_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
135,M_F_47_00_REF_FINREP 2_9,DPM_PFS,1999-01-01,9999-12-31
136,M_F_47_00_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
137,M_F_44_04_REF_FINREP 2_9,DPM_BAS_MCV_MCY_TRE,1999-01-01,9999-12-31
138,M_F_44_04_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
139,M_F_44_04_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
140,M_F_44_04_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
141,M_F_44_04_REF_FINREP 2_9,DPM_TSA,1999-01-01,9999-12-31
142,M_F_08_02_REF_FINREP 2_8,DPM_BAS_APL,1999-01-01,9999-12-31
143,M_F_08_02_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
144,M_F_08_02_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
145,M_F_08_02_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
146,M_F_08_02_REF_FINREP 2_8,DPM_SUB,1999-01-01,9999-12-31
147,M_F_08_02_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
148,M_F_04_10_REF_FINREP 2_9,DPM_BAS_ALO_IMS_APL,1999-01-01,9999-12-31
149,M_F_04_10_REF_FINREP 2_9,DPM_CPS_CPZ_MCY_TMA,1999-01-01,9999-12-31
150,M_F_04_10_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
151,M_F_04_10_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
152,M_F_04_10_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
153,M_F_04_10_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
154,M_F_20_01_REF_FINREP 2_8,DPM_BAS_CPS_MCB_MCY_APL,1999-01-01,9999-12-31
155,M_F_20_01_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
156,M_F_20_01_REF_FINREP 2_8,DPM_LAC,1999-01-01,9999-12-31
157,M_F_20_01_REF_FINREP 2_8,DPM_MCF,1999-01-01,9999-12-31
158,M_F_20_01_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
159,M_F_20_01_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
160,M_F_20_01_REF_FINREP 2_8,DPM_TYH_F_20.01,1999-01-01,9999-12-31
161,M_F_20_01_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
162,M_F_03_00_REF_FINREP 2_8,DPM_APL,1999-01-01,9999-12-31
163,M_F_03_00_REF_FINREP 2_8,DPM_BAS_MCF_MCH_MCY,1999-01-01,9999-12-31
164,M_F_03_00_REF_FINREP 2_8,DPM_Entity2,1999-01-01,9999-12-31
165,M_F_03_00_REF_FINREP 2_8,DPM_MCA,1999-01-01,9999-12-31
166,M_F_03_00_REF_FINREP 2_8,DPM_MCE,1999-01-01,9999-12-31
167,M_F_03_00_REF_FINREP 2_8,DPM_Period,1999-01-01,9999-12-31
168,M_F_08_02_REF_FINREP 2_8,DPM_MCY,1999-01-01,9999-12-31
169,M_F_03_00_REF_FINREP 2_8,DPM_REC,1999-01-01,9999-12-31
170,M_F_03_00_REF_FINREP 2_8,DPM_RiadCode,1999-01-01,9999-12-31
171,M_F_03_00_REF_FINREP 2_8,DPM_TYH_F_20.01,1999-01-01,9999-12-31
172,M_F_03_00_REF_FINREP 2_8,DPM_ValueDecimal,1999-01-01,9999-12-31
173,M_F_23_06_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
174,M_F_25_01_b_REF_FINREP 2_9,DPM_POV,1999-01-01,9999-12-31
175,M_F_25_01_b_REF_FINREP 2_9,DPM_REF,1999-01-01,9999-12-31
176,M_F_25_01_b_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
177,M_F_25_01_b_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
178,M_F_25_02_a_REF_FINREP 2_9,DPM_BAS_MCY_APL,1999-01-01,9999-12-31
179,M_F_25_02_a_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
180,M_F_25_02_a_REF_FINREP 2_9,DPM_MCB,1999-01-01,9999-12-31
181,M_F_25_02_a_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
182,M_F_25_02_a_REF_FINREP 2_9,DPM_POV,1999-01-01,9999-12-31
183,M_F_25_02_a_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
184,M_F_25_02_a_REF_FINREP 2_9,DPM_TIE,1999-01-01,9999-12-31
185,M_F_25_02_a_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
186,M_F_19_00_d_REF_FINREP 2_9,DPM_BAS,1999-01-01,9999-12-31
187,M_F_19_00_d_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
188,M_F_19_00_d_REF_FINREP 2_9,DPM_FBS_F_19.00,1999-01-01,9999-12-31
189,M_F_19_00_d_REF_FINREP 2_9,DPM_IMS_PFS,1999-01-01,9999-12-31
190,M_F_19_00_d_REF_FINREP 2_9,DPM_MCG,1999-01-01,9999-12-31
191,M_F_19_00_d_REF_FINREP 2_9,DPM_MCY,1999-01-01,9999-12-31
192,M_F_19_00_d_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
193,M_F_19_00_d_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
194,M_F_19_00_d_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
195,M_F_25_01_a_REF_FINREP 2_9,DPM_BAS_MCY_APL,1999-01-01,9999-12-31
196,M_F_25_01_a_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
197,M_F_25_01_a_REF_FINREP 2_9,DPM_FLT_FLW,1999-01-01,9999-12-31
198,M_F_25_01_a_REF_FINREP 2_9,DPM_Period,1999-01-01,9999-12-31
199,M_F_25_01_a_REF_FINREP 2_9,DPM_POV,1999-01-01,9999-12-31
200,M_F_25_01_a_REF_FINREP 2_9,DPM_REF,1999-01-01,9999-12-31
201,M_F_25_01_a_REF_FINREP 2_9,DPM_RiadCode,1999-01-01,9999-12-31
202,M_F_25_01_a_REF_FINREP 2_9,DPM_TIE,1999-01-01,9999-12-31
203,M_F_25_01_a_REF_FINREP 2_9,DPM_ValueDecimal,1999-01-01,9999-12-31
204,M_F_04_05_REF_FINREP 2017-A,DPM_BAS_APL,1999-01-01,9999-12-31
205,M_F_04_05_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
206,M_F_04_05_REF_FINREP 2017-A,DPM_MCY,1999-01-01,9999-12-31
207,M_F_04_05_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
208,M_F_04_05_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
209,M_F_04_05_REF_FINREP 2017-A,DPM_SUB,1999-01-01,9999-12-31
210,M_F_04_05_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
211,M_F_43_00_REF_FINREP 2017-A,DPM_APL,1999-01-01,9999-12-31
212,M_F_19_00_c_REF_FINREP 2_9,DPM_BAS_APL,1999-01-01,9999-12-31
213,M_F_19_00_c_REF_FINREP 2_9,DPM_CPS_CPZ_MCB_MCY_PUR,1999-01-01,9999-12-31
214,M_F_19_00_c_REF_FINREP 2_9,DPM_Entity2,1999-01-01,9999-12-31
215,M_F_04_06_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
216,M_F_13_03_REF_FINREP 2017-A,DPM_BAS_MCY,1999-01-01,9999-12-31
217,M_F_13_03_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
218,M_F_13_03_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
219,M_F_13_03_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
220,M_F_13_03_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
221,M_F_17_03_REF_FINREP 2017-A,DPM_BAS_CNO_MCB_MCY_APL,1999-01-01,9999-12-31
222,M_F_17_03_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
223,M_F_17_03_REF_FINREP 2017-A,DPM_MCF,1999-01-01,9999-12-31
224,M_F_17_03_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
225,M_F_17_03_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
226,M_F_17_03_REF_FINREP 2017-A,DPM_SCO,1999-01-01,9999-12-31
227,M_F_17_03_REF_FINREP 2017-A,DPM_TYH_F_20.01,1999-01-01,9999-12-31
228,M_F_17_03_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
229,M_F_43_00_REF_FINREP 2017-A,DPM_BAS_MCP_MCY,1999-01-01,9999-12-31
230,M_F_43_00_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
231,M_F_43_00_REF_FINREP 2017-A,DPM_FRS,1999-01-01,9999-12-31
232,M_F_43_00_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
233,M_F_01_01_REF_FINREP 2017-A,DPM_BAS_CPS_MCB_MCY_APL,1999-01-01,9999-12-31
234,M_F_01_01_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
235,M_F_01_01_REF_FINREP 2017-A,DPM_FRS,1999-01-01,9999-12-31
236,M_F_01_01_REF_FINREP 2017-A,DPM_MCF,1999-01-01,9999-12-31
237,M_F_01_01_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
238,M_F_01_01_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
239,M_F_01_01_REF_FINREP 2017-A,DPM_TYH_F_20.01,1999-01-01,9999-12-31
240,M_F_01_01_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
241,M_F_20_06_REF_FINREP 2017-A,DPM_BAS_APL,1999-01-01,9999-12-31
242,M_F_20_06_REF_FINREP 2017-A,DPM_CPS_MCY,1999-01-01,9999-12-31
243,M_F_20_06_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
244,M_F_20_06_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
245,M_F_20_06_REF_FINREP 2017-A,DPM_RCP,1999-01-01,9999-12-31
246,M_F_20_06_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
247,M_F_20_06_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
248,M_F_11_03_REF_FINREP 2017-A,DPM_BAS_APL,1999-01-01,9999-12-31
249,M_F_11_03_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
250,M_F_11_03_REF_FINREP 2017-A,DPM_MCF,1999-01-01,9999-12-31
251,M_F_11_03_REF_FINREP 2017-A,DPM_MCY,1999-01-01,9999-12-31
252,M_F_11_03_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
253,M_F_11_03_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
254,M_F_11_03_REF_FINREP 2017-A,DPM_TYH,1999-01-01,9999-12-31
255,M_F_11_03_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
256,M_F_04_06_REF_FINREP 2017-A,DPM_BAS_APL,1999-01-01,9999-12-31
257,M_F_04_06_REF_FINREP 2017-A,DPM_CPS_MCY_TMA,1999-01-01,9999-12-31
258,M_F_04_06_REF_FINREP 2017-A,DPM_Entity2,1999-01-01,9999-12-31
259,M_F_04_06_REF_FINREP 2017-A,DPM_Period,1999-01-01,9999-12-31
260,M_F_04_06_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
261,M_F_43_00_REF_FINREP 2017-A,DPM_REF,1999-01-01,9999-12-31
262,M_F_43_00_REF_FINREP 2017-A,DPM_RiadCode,1999-01-01,9999-12-31
263,M_F_43_00_REF_FINREP 2017-A,DPM_ValueDecimal,1999-01-01,9999-12-31
