VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
DPM_mi170_Z,ECB,DPM_mi170_Z,Resolution mappings - share capital owned
DIM_DATA_TYPE_MIR,ECB,DIM_DATA_TYPE_MIR,DIM_DATA_TYPE_MIR variable mapping into reference
DIM_MATURITY_NOT_IRATE,ECB,DIM_MATURITY_NOT_IRATE,DIM_MATURITY_NOT_IRATE variable mapping into reference
DPM_ENC,ECB,DPM_ENC,Encumbrance intos Encumbered asset or collateral received and Available for encumbrance
DPM_EXC,ECB,DPM_EXC,Exposure class into Exposure class
DPM_LQC,ECB,DPM_LQC,DPM_LQC
DPM_CPC,ECB,DPM_CPC,DPM_CPC
DPM_ECC,ECB,DPM_ECC,Exposure class of the collateral received intoExposure class of the collateral received
DPM_SST,ECB,DPM_SST,Securitisation structure into Security rank level
DPM_CPE,ECB,DPM_CPE,Counterparty sector of the source of encumbrance into Institutional sector
DPM_EUT_RSDL_MTRY_LBLTY_INTRVL,ECB,DPM_EUT_RSDL_MTRY_LBLTY_INTRVL,Time of encumbrance into Residual maturity of the liability interval
DPM_SCC_RSDL_MTRY_CNTRCT,ECB,DPM_SCC_RSDL_MTRY_CNTRCT,Specific contract clauses or netting agreements into Residual maturity of the contract
DPM_REF_RES,ECB,DPM_REF_RES,Reference date or period and  Residual maturity into Time interval w.r.t. the reference date
DPM_CRA,ECB,DPM_CRA,Credit rating agency /Covered bond regime intos Credit rating agency and Statutory covered bond regime
DPM_LQA,ECB,DPM_LQA,Liquidity quality of assets into Eligible for central bank funding
DPM_OFS,ECB,DPM_OFS,Resolution mappings
VZ_3,ECB,VZ_3,Resolution mapping template Z_3
VZ_4,ECB,VZ_4,Resolution mapping template Z_4
VZ_5,ECB,VZ_5,Resolution mappings
VZ_6,ECB,VZ_6,Resolution mapping template Z_6
VZ_1,ECB,VZ_1,Resolution mapping template Z_1
VZ_2,ECB,VZ_2,Resolution mapping template Z_2
VZ_7,ECB,VZ_7,Resolution mapping template Z_7
DPM_ROL ,ECB,DPM_ROL ,reolution mapping 
DPM_ATY,ECB,DPM_ATY,Artificial variable for metrics mapping
DPM_mi292,ECB,DPM_mi292,DPM_mi292
DPM_mi295,ECB,DPM_mi295,DPM_mi295
DPM_mi297,ECB,DPM_mi297,DPM_mi297
DPM_pi695,ECB,DPM_pi695,DPM_pi695
DPM_pi769,ECB,DPM_pi769,DPM_pi769
TYP_RPRTNG_NCB,ECB,TYP_RPRTNG_NCB,Generation Mapping for Criterion for determining the NCB to which data will be reported
DPM_CTL,ECB,DPM_CTL,Mapping of Collateralisation level
DPM_IMS_F_23.02,ECB,DPM_IMS_F_23.02,Mapping of Impairment status for the template F23.02
DPM_ACCNTNG_FRMWRK,ECB,DPM_ACCNTNG_FRMWRK,Generation Mapping for Accounting framework
DPM_MCB_MCY_TMA_TRI,ECB,DPM_MCB_MCY_TMA_TRI,"Mapping of Main category, Type of risk, Type of market, Instrument"
DPM_ICG,ECB,DPM_ICG,DPM_ICG
